55054.500000,55054.000000,55055.000000,0.705271,0.083493,0.433467,0.062262,0.278934,0.043821,0.003150,0.030164,0
55055.500000,55055.000000,55056.000000,0.508784,0.046242,0.247604,0.035841,0.229552,0.023484,0.020297,0.017466,0
55056.500000,55056.000000,55057.000000,0.476952,0.033787,0.318587,0.025497,0.177633,0.016766,0.001124,0.013795,0
55057.500000,55057.000000,55058.000000,0.459247,0.022987,0.268681,0.016184,0.190794,0.011012,-0.001821,0.010729,0
55058.500000,55058.000000,55059.000000,0.338031,0.023158,0.208189,0.016510,0.151571,0.010917,-0.020958,0.010919,0
55059.500000,55059.000000,55060.000000,0.285481,0.023118,0.156285,0.016000,0.130068,0.011081,-0.007394,0.010918,0
55060.500000,55060.000000,55061.000000,0.334062,0.023300,0.196942,0.016413,0.141886,0.011145,-0.004721,0.010833,0
55061.500000,55061.000000,55062.000000,0.305988,0.023685,0.202567,0.016688,0.129781,0.011247,-0.020061,0.011156,0
55062.500000,55062.000000,55063.000000,0.398151,0.024899,0.226448,0.017646,0.174485,0.012190,-0.004064,0.011135,0
55063.500000,55063.000000,55064.000000,0.413992,0.024525,0.262078,0.017693,0.175897,0.011757,-0.019615,0.011155,0
55064.500000,55064.000000,55065.000000,0.353806,0.024974,0.203530,0.017691,0.126805,0.012185,0.024252,0.011310,0
55065.500000,55065.000000,55066.000000,0.402404,0.027449,0.259749,0.019780,0.162313,0.013045,-0.012679,0.012817,0
55066.500000,55066.000000,55067.000000,0.263573,0.025467,0.159127,0.017518,0.107236,0.012149,-0.000747,0.012363,0
55067.500000,55067.000000,55068.000000,0.154205,0.025991,0.121760,0.017890,0.061443,0.012243,-0.018001,0.012873,0
55068.500000,55068.000000,55069.000000,0.144224,0.026338,0.103759,0.018350,0.037740,0.012396,0.013533,0.013060,0
55069.500000,55069.000000,55070.000000,0.091171,0.027137,0.078329,0.018220,0.043825,0.012682,-0.023750,0.014046,0
55070.500000,55070.000000,55071.000000,0.125799,0.026603,0.073295,0.017625,0.048358,0.012418,0.008543,0.014051,0
55073.500000,55073.000000,55074.000000,0.116106,0.039103,0.032446,0.024497,0.079038,0.018647,-0.013227,0.021045,0
55074.500000,55074.000000,55075.000000,-0.092603,0.020264,0.002523,0.014319,-0.046695,0.009885,-0.027306,0.009463,0
55075.500000,55075.000000,55076.000000,-0.099327,0.020792,-0.030503,0.014964,-0.022283,0.010260,-0.041978,0.009322,0
55076.500000,55076.000000,55077.000000,0.043931,0.021937,0.062805,0.015243,0.015687,0.010656,-0.022830,0.010565,0
55077.500000,55077.000000,55078.000000,-0.061367,0.021810,0.003441,0.015553,-0.032979,0.010550,-0.018816,0.010296,0
55078.500000,55078.000000,55079.000000,-0.076045,0.022010,-0.005111,0.015317,-0.037806,0.010469,-0.015934,0.010846,0
55079.500000,55079.000000,55080.000000,-0.054786,0.022930,-0.025445,0.015537,-0.013220,0.010954,-0.014569,0.011437,0
55080.500000,55080.000000,55081.000000,-0.045317,0.023774,-0.002201,0.015721,0.000932,0.010983,-0.040931,0.012516,0
55081.500000,55081.000000,55082.000000,-0.064700,0.024202,-0.003027,0.015690,-0.012878,0.011045,-0.038360,0.012953,0
55082.500000,55082.000000,55083.000000,-0.180801,0.024572,-0.056618,0.015491,-0.039942,0.011329,-0.079989,0.013360,0
55083.500000,55083.000000,55084.000000,-0.051507,0.022852,-0.006638,0.015103,-0.007042,0.010649,-0.032193,0.012017,0
55084.500000,55084.000000,55085.000000,-0.013637,0.023366,0.004973,0.014715,0.024214,0.010722,-0.043447,0.013019,0
55085.500000,55085.000000,55086.000000,-0.317661,0.052765,-0.082420,0.031588,-0.111613,0.024361,-0.102601,0.031048,0
55086.500000,55086.000000,55087.000000,-0.157821,0.023387,-0.075740,0.016094,-0.031162,0.011242,-0.053256,0.011856,0
55087.500000,55087.000000,55088.000000,-0.138308,0.023259,-0.096985,0.016273,-0.039945,0.011123,-0.006155,0.011669,0
55088.500000,55088.000000,55089.000000,-0.144447,0.023286,-0.103766,0.015787,-0.032928,0.011317,-0.019712,0.011712,0
55089.500000,55089.000000,55090.000000,-0.099621,0.023875,-0.076681,0.016507,-0.013257,0.011504,-0.023225,0.011837,0
55090.500000,55090.000000,55091.000000,-0.119970,0.028301,-0.111193,0.020171,-0.015262,0.013568,-0.013757,0.013574,0
55091.500000,55091.000000,55092.000000,-0.149997,0.024000,-0.125573,0.017574,-0.020372,0.011518,-0.027648,0.011104,0
55092.500000,55092.000000,55093.000000,-0.179630,0.023567,-0.145789,0.017361,-0.042230,0.011499,-0.013534,0.010421,0
55093.500000,55093.000000,55094.000000,-0.158919,0.019711,-0.114515,0.013595,-0.027846,0.009511,-0.031660,0.009418,0
55094.500000,55094.000000,55095.000000,-0.300510,0.034814,-0.198711,0.021778,-0.037254,0.015636,-0.092621,0.019314,0
55095.500000,55095.000000,55096.000000,-0.279014,0.021154,-0.158748,0.014522,-0.065336,0.010136,-0.063746,0.010169,0
55097.500000,55097.000000,55098.000000,-0.085900,0.024233,-0.051018,0.018182,-0.033008,0.011667,-0.002990,0.010672,0
55098.500000,55098.000000,55099.000000,-0.165916,0.025144,-0.061562,0.018561,-0.057009,0.012424,-0.034878,0.010821,0
55099.500000,55099.000000,55100.000000,-0.044068,0.022521,-0.004014,0.016237,0.001781,0.011206,-0.038354,0.009908,0
55100.500000,55100.000000,55101.000000,-0.184010,0.036838,-0.105796,0.027950,-0.028478,0.017895,-0.058853,0.016109,0
